GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
campus-market,default,CampusMarketApp,1451,0,111,0,354,0,87,0,23,0
campus-market,util,ValidationUtil,3,65,0,20,1,13,1,16,1,6
campus-market,util,PasswordUtil,10,65,0,8,3,12,1,7,1,3
campus-market,service,UserService,279,0,22,0,66,0,23,0,12,0
campus-market,service,ChatService,247,0,28,0,67,0,21,0,7,0
campus-market,service,ProductService,363,0,54,0,103,0,38,0,11,0
campus-market,service,AuthService,261,0,42,0,75,0,29,0,8,0
campus-market,service,SearchService,120,0,18,0,26,0,17,0,8,0
campus-market,model,Tag,35,0,0,0,13,0,7,0,7,0
campus-market,model,Category,29,0,0,0,13,0,7,0,7,0
campus-market,model,Favorite,48,0,0,0,20,0,10,0,10,0
campus-market,model,Conversation,91,0,6,0,28,0,18,0,15,0
campus-market,model,Product,162,0,0,0,54,0,27,0,27,0
campus-market,model,User,106,0,0,0,36,0,19,0,19,0
campus-market,model,Message,92,0,0,0,38,0,19,0,19,0
campus-market,model,BrowseHistory,58,0,0,0,24,0,12,0,12,0
campus-market,repository,Database,674,0,10,0,114,0,60,0,55,0
